myAUC,avg_diff,power,avg_log2FC,pct.1,pct.2,cluster,gene
0.841,1.3157564865579847,0.6819999999999999,1.898235358174691,0.808,0.145,0,Megf11
0.84,0.907901895609216,0.6799999999999999,1.3098255624091055,1,0.744,0,Ntrk3
0.839,1.1925355056980858,0.6779999999999999,1.72046506015464,0.769,0.267,0,Lrrc3b
0.839,0.9419721101224027,0.6779999999999999,1.3589784919293026,0.885,0.653,0,Gramd1b
0.838,0.877899420269167,0.6759999999999999,1.2665411400216229,0.885,0.454,0,Mxi1
0.838,0.7354014980751333,0.6759999999999999,1.0609600943353097,0.885,0.462,0,Fgd4
0.837,1.0447519791867372,0.6739999999999999,1.5072584993316354,0.962,0.813,0,Ldlrad4
0.836,1.211635677071505,0.6719999999999999,1.748020782675202,0.769,0.206,0,Igsf21
0.835,0.9539258781555158,0.6699999999999999,1.3762241337906125,0.846,0.267,0,Ust
0.835,1.2751929751697326,0.6699999999999999,1.839714581453816,0.923,0.534,0,Brinp1
0.834,0.6883228983329504,0.6679999999999999,0.9930400319552655,1,0.702,0,Gabbr2
0.833,1.2541952914903014,0.6659999999999999,1.8094213273393454,0.731,0.126,0,Jph1
0.831,0.8165950862992251,0.6619999999999999,1.1780976814181865,1,0.824,0,Gpm6a
0.83,1.0515991650669854,0.6599999999999999,1.517136900445114,0.808,0.344,0,Wscd2
0.83,0.4503415771941679,0.6599999999999999,0.6497055601241399,1,0.859,0,Pde4b
0.829,0.9401090448420095,0.6579999999999999,1.356290656888427,0.885,0.515,0,Ptprj
0.829,0.8990015550062347,0.6579999999999999,1.2969850851589613,0.962,0.622,0,Kif26b
0.828,0.8701924277282718,0.6559999999999999,1.2554223001027054,0.808,0.202,0,Frmd6
0.828,0.9476273514034474,0.6559999999999999,1.3671372804804967,1,0.828,0,Gria4
0.828,0.8988476834886479,0.6559999999999999,1.2967630954836047,0.923,0.805,0,Phactr3
0.827,0.7895079958717981,0.6539999999999999,1.1390192703864275,1,0.775,0,Setbp1
0.827,0.9464988429407803,0.6539999999999999,1.3655091869178058,0.885,0.496,0,Epb41
0.827,0.7465910509312474,0.6539999999999999,1.0771032067505903,0.962,0.775,0,Scn2a
0.825,1.0590222765631332,0.6499999999999999,1.5278461865885726,0.731,0.153,0,Zbtb46
0.824,0.750022470199472,0.6479999999999999,1.0820536983120692,1,0.966,0,Ppp3ca
0.823,0.8439108969461877,0.6459999999999999,1.217506065976422,0.769,0.218,0,Gm3294
0.822,1.2939719637321412,0.6439999999999999,1.8668069351257135,0.654,0.019,0,Gm31615
0.821,1.0120226231674894,0.6419999999999999,1.4600400197111771,0.731,0.153,0,Tmem266
0.82,0.7180394816640685,0.6399999999999999,1.0359119993592332,1,0.798,0,Ryr2
0.82,0.6739628032693266,0.6399999999999999,0.9723227940202812,1,0.855,0,Celf2
0.818,0.89359714213913,0.6359999999999999,1.289188165516673,0.885,0.282,0,Dleu2
0.818,1.1605520482681175,0.6359999999999999,1.6743226847299413,0.808,0.531,0,Rif1
0.816,0.9729276092161838,0.6319999999999999,1.4036378369601439,0.808,0.435,0,Pip5k1b
0.814,0.9889457433654368,0.6279999999999999,1.426747119661565,0.846,0.366,0,Eps8
0.812,1.0183920714529693,0.6240000000000001,1.4692291911658377,0.692,0.095,0,Boc
